Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Genus]	Term Source REF	Term Accession Number	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Biological Material Latitude]	Characteristics[Biological Material Longitude]	Characteristics[Material Source ID]	Characteristics[Seed Origin]	Characteristics[Growth Facility]	Characteristics[Material Source Latitude]	Characteristics[Material Source Longitude]	Protocol REF	Parameter Value[Rooting medium]	Parameter Value[Container type]	Term Source REF	Term Accession Number	Parameter Value[Container volume]	Unit	Term Source REF	Term Accession Number	Parameter Value[Container height]	Unit	Term Source REF	Term Accession Number	Parameter Value[Number of plants per containers]	Parameter Value[pH]	Parameter Value[Air temperature Day - Stratification]	Unit	Term Source REF	Term Accession Number	Parameter Value[Air temperature Night - Stratification]	Unit	Term Source REF	Term Accession Number	Parameter Value[Average length of the light period - Stratification]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light intensity - Stratification]	Unit	Parameter Value[Fraction of outside light intercepted by growth facility components and surrounding structures - Stratification]	Parameter Value[Type of lamps used]	Parameter Value[Average relative humidity during the light period - Stratification]	Unit	Term Source REF	Term Accession Number	Parameter Value[Average relative humidity during the dark period - Stratification]	Unit	Term Source REF	Term Accession Number	Parameter Value[Air temperature Day - Germination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Air temperature Night - Germination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Average length of the light period - Germination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light intensity - Germination]	Unit	Parameter Value[Fraction of outside light intercepted by growth facility components and surrounding structures - Germination]	Parameter Value[Average relative humidity during the light period - Germination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Average relative humidity during the dark period - Germination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Air temperature Day - Post Germination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Air temperature Night - Post Germination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Average length of the light period - Post Germination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light intensity - Post Germination]	Unit	Parameter Value[Fraction of outside light intercepted by growth facility components and surrounding structures - Post Germination]	Parameter Value[Average relative humidity during the light period - Post Germination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Average relative humidity during the dark period - Post Germination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Watering regimen]	Parameter Value[Composition of nutrient solutions used for irrigation]	Sample Name	Characteristics[Observation Unit Type]	Factor Value[Soil Cover]	Factor Value[Plant Movement]
Plant_0	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Arabidopsis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3701	thaliana	 	51.827721	11.27778	http://eurisco.ipk-gatersleben.de/apex/f?p=103:16:::NO::P16_EURISCO_ACC_ID:1668187	http://arabidopsis.info/StockInfo?NASC_id=22680	small LemnaTec phytochamber	51.827721	11.27778	Growth	85% (v) red substrate 1 (Klasmann-Deilmann GmbH, Geeste, Germany) / 15% (v) sand)	pot	AGRO	http://purl.obolibrary.org/obo/AGRO_00000309	0.43	litre	UO	http://purl.obolibrary.org/obo/UO_0000099	0.08	m	UO	http://purl.obolibrary.org/obo/UO_0000008	1	5.5	5	s	UO	http://purl.obolibrary.org/obo/UO_0000027	5	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	24	h	UO	http://purl.obolibrary.org/obo/UO_0000032	0	µmol m-2 s-1	0	Whitelux Plus metal halide lamps (Venture Lighting Europe Ltd., Rickmansworth, Hertfordshire, England)	90	%	UO	http://purl.obolibrary.org/obo/UO_0000187	90	%	UO	http://purl.obolibrary.org/obo/UO_0000187	16	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	14	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	16	h	UO	http://purl.obolibrary.org/obo/UO_0000032	140	µmol m-2 s-1	0	75	%	UO	http://purl.obolibrary.org/obo/UO_0000187	75	%	UO	http://purl.obolibrary.org/obo/UO_0000187	20	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	18	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	16	h	UO	http://purl.obolibrary.org/obo/UO_0000032	140	µmol m-2 s-1	0	60	%	UO	http://purl.obolibrary.org/obo/UO_0000187	60	%	UO	http://purl.obolibrary.org/obo/UO_0000187	initial watering before germination from bottom, then top irrigation	water	1135FA-0	plant	covered	rotating
Plant_1	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Arabidopsis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3701	thaliana	 	51.827721	11.27778	http://eurisco.ipk-gatersleben.de/apex/f?p=103:16:::NO::P16_EURISCO_ACC_ID:1668187	http://arabidopsis.info/StockInfo?NASC_id=22680	small LemnaTec phytochamber	51.827721	11.27778	Growth	85% (v) red substrate 1 (Klasmann-Deilmann GmbH, Geeste, Germany) / 15% (v) sand)	pot	AGRO	http://purl.obolibrary.org/obo/AGRO_00000309	0.43	litre	UO	http://purl.obolibrary.org/obo/UO_0000099	0.08	m	UO	http://purl.obolibrary.org/obo/UO_0000008	1	5.5	5	s	UO	http://purl.obolibrary.org/obo/UO_0000027	5	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	24	h	UO	http://purl.obolibrary.org/obo/UO_0000032	0	µmol m-2 s-1	0	Whitelux Plus metal halide lamps (Venture Lighting Europe Ltd., Rickmansworth, Hertfordshire, England)	90	%	UO	http://purl.obolibrary.org/obo/UO_0000187	90	%	UO	http://purl.obolibrary.org/obo/UO_0000187	16	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	14	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	16	h	UO	http://purl.obolibrary.org/obo/UO_0000032	140	µmol m-2 s-1	0	75	%	UO	http://purl.obolibrary.org/obo/UO_0000187	75	%	UO	http://purl.obolibrary.org/obo/UO_0000187	20	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	18	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	16	h	UO	http://purl.obolibrary.org/obo/UO_0000032	140	µmol m-2 s-1	0	60	%	UO	http://purl.obolibrary.org/obo/UO_0000187	60	%	UO	http://purl.obolibrary.org/obo/UO_0000187	initial watering before germination from bottom, then top irrigation	water	1135FA-1	plant	uncovered	stationary
Plant_2	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Arabidopsis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3701	thaliana	 	51.827721	11.27778	http://eurisco.ipk-gatersleben.de/apex/f?p=103:16:::NO::P16_EURISCO_ACC_ID:1668187	http://arabidopsis.info/StockInfo?NASC_id=22680	small LemnaTec phytochamber	51.827721	11.27778	Growth	85% (v) red substrate 1 (Klasmann-Deilmann GmbH, Geeste, Germany) / 15% (v) sand)	pot	AGRO	http://purl.obolibrary.org/obo/AGRO_00000309	0.43	litre	UO	http://purl.obolibrary.org/obo/UO_0000099	0.08	m	UO	http://purl.obolibrary.org/obo/UO_0000008	1	5.5	5	s	UO	http://purl.obolibrary.org/obo/UO_0000027	5	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	24	h	UO	http://purl.obolibrary.org/obo/UO_0000032	0	µmol m-2 s-1	0	Whitelux Plus metal halide lamps (Venture Lighting Europe Ltd., Rickmansworth, Hertfordshire, England)	90	%	UO	http://purl.obolibrary.org/obo/UO_0000187	90	%	UO	http://purl.obolibrary.org/obo/UO_0000187	16	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	14	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	16	h	UO	http://purl.obolibrary.org/obo/UO_0000032	140	µmol m-2 s-1	0	75	%	UO	http://purl.obolibrary.org/obo/UO_0000187	75	%	UO	http://purl.obolibrary.org/obo/UO_0000187	20	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	18	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	16	h	UO	http://purl.obolibrary.org/obo/UO_0000032	140	µmol m-2 s-1	0	60	%	UO	http://purl.obolibrary.org/obo/UO_0000187	60	%	UO	http://purl.obolibrary.org/obo/UO_0000187	initial watering before germination from bottom, then top irrigation	water	1135FA-2	plant	covered	rotating
Plant_3	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Arabidopsis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3701	thaliana	 	51.827721	11.27778	http://eurisco.ipk-gatersleben.de/apex/f?p=103:16:::NO::P16_EURISCO_ACC_ID:1668187	http://arabidopsis.info/StockInfo?NASC_id=22680	small LemnaTec phytochamber	51.827721	11.27778	Growth	85% (v) red substrate 1 (Klasmann-Deilmann GmbH, Geeste, Germany) / 15% (v) sand)	pot	AGRO	http://purl.obolibrary.org/obo/AGRO_00000309	0.43	litre	UO	http://purl.obolibrary.org/obo/UO_0000099	0.08	m	UO	http://purl.obolibrary.org/obo/UO_0000008	1	5.5	5	s	UO	http://purl.obolibrary.org/obo/UO_0000027	5	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	24	h	UO	http://purl.obolibrary.org/obo/UO_0000032	0	µmol m-2 s-1	0	Whitelux Plus metal halide lamps (Venture Lighting Europe Ltd., Rickmansworth, Hertfordshire, England)	90	%	UO	http://purl.obolibrary.org/obo/UO_0000187	90	%	UO	http://purl.obolibrary.org/obo/UO_0000187	16	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	14	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	16	h	UO	http://purl.obolibrary.org/obo/UO_0000032	140	µmol m-2 s-1	0	75	%	UO	http://purl.obolibrary.org/obo/UO_0000187	75	%	UO	http://purl.obolibrary.org/obo/UO_0000187	20	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	18	°C	UO	http://purl.obolibrary.org/obo/UO_0000027	16	h	UO	http://purl.obolibrary.org/obo/UO_0000032	140	µmol m-2 s-1	0	60	%	UO	http://purl.obolibrary.org/obo/UO_0000187	60	%	UO	http://purl.obolibrary.org/obo/UO_0000187	initial watering before germination from bottom, then top irrigation	water	1135FA-3	plant	uncovered	stationary
